"zcta5","state","cd114","stab","zipname","pop10","afact"
"ZIP Census Tabulation Area","FIPS state","cd114","State Postal Code","zipname","Total Pop, 2010 census","zcta5 to cd114 alloc factor"
"01001","25","01","MA","Agawam Town, MA",16769,1 
"01002","25","02","MA","Amherst Center, MA",29049,1 
"01003","25","02","MA","Amherst Center, MA",10372,1 
"01005","25","02","MA","Barre, MA",5079,1 
"01007","25","02","MA","Belchertown, MA",14649,1 
"01008","25","01","MA","Blandford, MA",1263,1 
"01009","25","01","MA","Palmer Town, MA",741,1 
"01010","25","01","MA","Brimfield, MA",3609,1 
"01011","25","01","MA","Chester, MA",1370,1 
"01012","25","01","MA","Chesterfield, MA",661,1 
"01013","25","01","MA","Chicopee, MA",23188,1 
"01020","25","01","MA","Chicopee, MA",29668,1 
"01022","25","01","MA","Chicopee, MA",2451,1 
"01026","25","01","MA","Cummington, MA",946,1 
"01027","25","01","MA","Easthampton Town, MA",17660,1 
"01028","25","01","MA","East Longmeadow, MA",15720,1 
"01029","25","01","MA","East Otis, MA (PO Boxes)",789,1 
"01030","25","01","MA","Agawam Town, MA",11669,1 
"01031","25","02","MA","Gilbertville, MA",1308,1 
"01032","25","01","MA","Goshen, MA",570,1 
"01033","25","01","MA","Granby, MA",6227,1 
"01034","25","01","MA","Granville, MA",2021,1 
"01035","25","02","MA","Hadley, MA",5250,1 
"01036","25","01","MA","Hampden, MA",5109,1 
"01037","25","02","MA","Hardwick, MA (PO Boxes)",838,1 
"01038","25","02","MA","Hatfield, MA",2545,1 
"01039","25","01","MA","Haydenville, MA",1134,0.849 
"01039","25","02","MA","Haydenville, MA",202,0.151 
"01040","25","01","MA","Holyoke, MA",39880,1 
"01050","25","01","MA","Huntington, MA",2530,1 
"01053","25","02","MA","Northampton, MA",1685,1 
"01054","25","02","MA","Leverett, MA",1851,1 
"01056","25","01","MA","Ludlow, MA",21103,1 
"01057","25","01","MA","Monson, MA",8534,1 
"01060","25","02","MA","Northampton, MA",15284,1 
"01062","25","02","MA","Northampton, MA",11150,1 
"01063","25","02","MA","Northampton, MA",430,1 
"01066","25","02","MA","North Hatfield, MA (PO Boxes)",64,1 
"01068","25","02","MA","Oakham, MA",1902,1 
"01069","25","01","MA","Palmer Town, MA",8105,0.957 
"01069","25","02","MA","Palmer Town, MA",364,0.043 
"01070","25","01","MA","Plainfield, MA",629,1 
"01071","25","01","MA","Russell, MA",1596,1 
"01072","25","02","MA","Shutesbury, MA",1478,1 
"01073","25","01","MA","Southampton, MA",5792,1 
"01074","25","02","MA","South Barre, MA (PO Boxes)",319,1 
"01075","25","01","MA","South Hadley, MA",17527,1 
"01077","25","01","MA","Southwick, MA",9502,1 
"01079","25","01","MA","Palmer Town, MA",692,1 
"01080","25","01","MA","Palmer Town, MA",2334,1 
"01081","25","01","MA","Wales, MA",1698,1 
"01082","25","02","MA","Ware, MA",10322,1 
"01083","25","01","MA","Warren, MA (PO Boxes)",2888,1 
"01084","25","01","MA","West Chesterfield, MA (PO Boxes)",176,1 
"01085","25","01","MA","Westfield, MA",41117,1 
"01086","25","01","MA","Westfield, MA",687,1 
"01088","25","02","MA","West Hatfield, MA",670,1 
"01089","25","01","MA","West Springfield Town, MA",28391,1 
"01092","25","01","MA","West Warren, MA (PO Boxes)",1394,1 
"01093","25","02","MA","Whately, MA (PO Boxes)",325,1 
"01094","25","02","MA","Wheelwright, MA (PO Boxes)",351,1 
"01095","25","01","MA","Wilbraham, MA",14319,1 
"01096","25","01","MA","Williamsburg, MA",2217,1 
"01097","25","01","MA","Woronoco, MA",111,1 
"01098","25","01","MA","Worthington, MA",1101,1 
"01103","25","01","MA","Springfield, MA",2479,1 
"01104","25","01","MA","Springfield, MA",22865,1 
"01105","25","01","MA","Springfield, MA",12350,1 
"01106","25","01","MA","Longmeadow, MA",16021,1 
"01107","25","01","MA","Springfield, MA",11611,1 
"01108","25","01","MA","Springfield, MA",26688,1 
"01109","25","01","MA","Springfield, MA",30250,1 
"01118","25","01","MA","Springfield, MA",14071,1 
"01119","25","01","MA","Springfield, MA",14152,1 
"01128","25","01","MA","Springfield, MA",2631,1 
"01129","25","01","MA","Springfield, MA",7019,1 
"01151","25","01","MA","Springfield, MA",8698,1 
"01201","25","01","MA","Pittsfield, MA",46504,1 
"01220","25","01","MA","Adams, MA",8603,1 
"01222","25","01","MA","Ashley Falls, MA",829,1 
"01223","25","01","MA","Becket, MA",2314,1 
"01224","25","01","MA","Berkshire, MA",182,1 
"01225","25","01","MA","Cheshire, MA",3117,1 
"01226","25","01","MA","Dalton, MA",6945,1 
"01229","25","01","MA","Glendale, MA (PO Boxes)",95,1 
"01230","25","01","MA","Great Barrington, MA",8430,1 
"01235","25","01","MA","Hinsdale, MA",2766,1 
"01236","25","01","MA","Housatonic, MA",1509,1 
"01237","25","01","MA","Lanesboro, MA",2496,1 
"01238","25","01","MA","Lee, MA",6047,1 
"01240","25","01","MA","Lenox, MA",4534,1 
"01242","25","01","MA","Lenox Dale, MA (PO Boxes)",476,1 
"01243","25","01","MA","Middlefield, MA (PO Boxes)",334,1 
"01244","25","01","MA","Mill River, MA (PO Boxes)",151,1 
"01245","25","01","MA","Monterey, MA",985,1 
"01247","25","01","MA","North Adams, MA",16087,1 
"01253","25","01","MA","Otis, MA",731,1 
"01254","25","01","MA","Richmond, MA",972,1 
"01255","25","01","MA","Sandisfield, MA",915,1 
"01256","25","01","MA","Savoy, MA",692,1 
"01257","25","01","MA","Sheffield, MA",2121,1 
"01258","25","01","MA","South Egremont, MA",374,1 
"01259","25","01","MA","Southfield, MA",635,1 
"01260","25","01","MA","South Lee, MA (PO Boxes)",240,1 
"01262","25","01","MA","Stockbridge, MA (PO Boxes)",1238,1 
"01264","25","01","MA","Tyringham, MA",137,1 
"01266","25","01","MA","West Stockbridge, MA",1463,1 
"01267","25","01","MA","Williamstown, MA",7989,1 
"01270","25","01","MA","Windsor, MA",778,1 
"01301","25","01","MA","Greenfield Town, MA",244,0.014 
"01301","25","02","MA","Greenfield Town, MA",17456,0.986 
"01330","25","01","MA","Ashfield, MA",1506,1 
"01331","25","02","MA","Athol, MA",13263,1 
"01337","25","01","MA","Bernardston, MA",2596,1 
"01338","25","01","MA","Buckland, MA",187,1 
"01339","25","01","MA","Charlemont, MA",1438,1 
"01340","25","01","MA","Colrain, MA",1701,1 
"01341","25","01","MA","Conway, MA",1833,1 
"01342","25","02","MA","Deerfield, MA",1492,1 
"01343","25","01","MA","Drury, MA",75,1 
"01344","25","02","MA","Erving, MA",1498,1 
"01346","25","01","MA","Heath, MA",533,1 
"01347","25","02","MA","Lake Pleasant, MA (PO Boxes)",166,1 
"01349","25","02","MA","Millers Falls, MA",1091,1 
"01350","25","01","MA","Monroe Bridge, MA (PO Boxes)",121,1 
"01351","25","02","MA","Montague, MA",2270,1 
"01354","25","02","MA","Gill, MA",1500,1 
"01355","25","02","MA","New Salem, MA",878,1 
"01360","25","02","MA","Northfield, MA",3032,1 
"01364","25","02","MA","Orange, MA",7969,1 
"01366","25","02","MA","Petersham, MA",1277,1 
"01367","25","01","MA","Rowe, MA",522,1 
"01368","25","02","MA","Royalston, MA",1261,1 
"01370","25","01","MA","Shelburne Falls, MA",4082,1 
"01370","25","02","MA","Shelburne Falls, MA",2,0 
"01373","25","02","MA","South Deerfield, MA",4600,1 
"01375","25","02","MA","Sunderland, MA",3684,1 
"01376","25","02","MA","Turners Falls, MA",5247,1 
"01378","25","02","MA","Warwick, MA",774,1 
"01379","25","02","MA","Wendell, MA",813,1 
"01420","25","02","MA","Fitchburg, MA",19,0 
"01420","25","03","MA","Fitchburg, MA",40318,1 
"01430","25","03","MA","Ashburnham, MA",6089,1 
"01431","25","03","MA","Ashby, MA",3074,1 
"01432","25","03","MA","Ayer, MA",7089,1 
"01434","25","03","MA","Devens, MA",1795,1 
"01436","25","02","MA","Baldwinville, MA",3336,1 
"01438","25","02","MA","East Templeton, MA (PO Boxes)",559,1 
"01440","25","02","MA","Gardner, MA",97,0.005 
"01440","25","03","MA","Gardner, MA",20250,0.995 
"01450","25","03","MA","Groton, MA",10646,1 
"01451","25","03","MA","Harvard, MA",4747,1 
"01452","25","02","MA","Hubbardston, MA",4382,1 
"01453","25","02","MA","Leominster, MA",40740,0.997 
"01453","25","03","MA","Leominster, MA",143,0.003 
"01460","25","03","MA","Littleton, MA",8924,1 
"01462","25","03","MA","Lunenburg, MA",10086,1 
"01463","25","03","MA","Pepperell, MA",11497,1 
"01464","25","03","MA","Shirley, MA",7211,1 
"01467","25","03","MA","Still River, MA (PO Boxes)",316,1 
"01468","25","02","MA","Templeton, MA",4021,1 
"01469","25","03","MA","Townsend, MA",6801,1 
"01473","25","03","MA","Westminster, MA",7277,1 
"01474","25","03","MA","West Townsend, MA",2125,1 
"01475","25","02","MA","Winchendon, MA",2533,0.247 
"01475","25","03","MA","Winchendon, MA",7737,0.753 
"01501","25","02","MA","Auburn, MA",16075,1 
"01503","25","03","MA","Berlin, MA",2866,1 
"01504","25","02","MA","Blackstone, MA",9026,1 
"01505","25","02","MA","Boylston, MA",4355,1 
"01506","25","01","MA","Brookfield, MA",3390,1 
"01507","25","01","MA","Charlton, MA",12981,1 
"01510","25","03","MA","Clinton, MA",13606,1 
"01515","25","01","MA","East Brookfield, MA",2183,1 
"01516","25","02","MA","Douglas, MA",8500,1 
"01518","25","01","MA","Fiskdale, MA",2974,1 
"01519","25","02","MA","Grafton, MA",6595,1 
"01520","25","02","MA","Holden, MA",13997,1 
"01521","25","01","MA","Holland, MA",2481,1 
"01522","25","02","MA","Jefferson, MA",3310,1 
"01523","25","03","MA","Lancaster, MA",7582,1 
"01524","25","02","MA","Leicester, MA",6696,1 
"01525","25","02","MA","Linwood, MA (PO Boxes)",290,1 
"01527","25","02","MA","Millbury, MA",13246,1 
"01529","25","02","MA","Millville, MA",3190,1 
"01531","25","02","MA","New Braintree, MA",999,1 
"01532","25","02","MA","Northborough, MA",14155,1 
"01534","25","02","MA","Northbridge, MA",5631,1 
"01535","25","02","MA","North Brookfield, MA",4680,1 
"01536","25","02","MA","North Grafton, MA",6888,1 
"01537","25","02","MA","North Oxford, MA",2248,1 
"01540","25","02","MA","Oxford, MA",11291,1 
"01541","25","02","MA","Princeton, MA",3413,1 
"01542","25","02","MA","Rochdale, MA",2202,1 
"01543","25","02","MA","Rutland, MA",7973,1 
"01545","25","02","MA","Shrewsbury, MA",35299,1 
"01550","25","01","MA","Southbridge Town, MA",16719,1 
"01560","25","02","MA","South Grafton, MA",4527,1 
"01561","25","03","MA","South Lancaster, MA",330,1 
"01562","25","02","MA","Spencer, MA",11688,1 
"01564","25","02","MA","Sterling, MA",7808,1 
"01566","25","01","MA","Sturbridge, MA",6294,1 
"01568","25","02","MA","Upton, MA",7480,1 
"01569","25","02","MA","Uxbridge, MA",13569,1 
"01570","25","02","MA","Webster, MA",16767,1 
"01571","25","01","MA","Dudley, MA",11390,1 
"01581","25","02","MA","Westborough, MA",18272,1 
"01583","25","02","MA","West Boylston, MA",7591,1 
"01585","25","01","MA","West Brookfield, MA",853,0.187 
"01585","25","02","MA","West Brookfield, MA",3701,0.813 
"01588","25","02","MA","Whitinsville, MA",9733,1 
"01590","25","02","MA","Sutton, MA",8875,1 
"01602","25","02","MA","Worcester, MA",22819,1 
"01603","25","02","MA","Worcester, MA",19916,1 
"01604","25","02","MA","Worcester, MA",34677,1 
"01605","25","02","MA","Worcester, MA",26221,1 
"01606","25","02","MA","Worcester, MA",19077,1 
"01607","25","02","MA","Worcester, MA",8351,1 
"01608","25","02","MA","Worcester, MA",3888,1 
"01609","25","02","MA","Worcester, MA",22421,1 
"01610","25","02","MA","Worcester, MA",23945,1 
"01611","25","02","MA","Cherry Valley, MA",2242,1 
"01612","25","02","MA","Paxton, MA",4845,1 
"01701","25","05","MA","Framingham, MA",31217,1 
"01702","25","05","MA","Framingham, MA",37206,1 
"01718","25","03","MA","Village Of Nagog Woods, MA",469,1 
"01719","25","03","MA","Boxborough, MA",4996,1 
"01720","25","03","MA","Acton, MA",21361,1 
"01721","25","05","MA","Ashland, MA",16593,1 
"01730","25","06","MA","Bedford, MA",13221,1 
"01731","25","05","MA","Hanscom Afb, MA",1286,0.921 
"01731","25","06","MA","Hanscom Afb, MA",110,0.079 
"01740","25","03","MA","Bolton, MA",4897,1 
"01741","25","03","MA","Carlisle, MA",4852,1 
"01742","25","03","MA","Concord, MA",17726,1 
"01745","25","05","MA","Fayville, MA",397,1 
"01746","25","05","MA","Holliston, MA",13547,1 
"01747","25","04","MA","Hopedale, MA",5911,1 
"01748","25","04","MA","Hopkinton, MA",14925,1 
"01749","25","03","MA","Hudson, MA",19063,1 
"01752","25","03","MA","Marlborough, MA",38499,1 
"01754","25","03","MA","Maynard, MA",10106,1 
"01756","25","02","MA","Mendon, MA",5839,1 
"01757","25","02","MA","Milford, MA",62,0.002 
"01757","25","04","MA","Milford, MA",27999,0.998 
"01760","25","05","MA","Natick, MA",32786,1 
"01770","25","05","MA","Sherborn, MA",4119,1 
"01772","25","05","MA","Southborough, MA",9370,1 
"01773","25","03","MA","Lincoln, MA",36,0.007 
"01773","25","05","MA","Lincoln, MA",5076,0.993 
"01775","25","03","MA","Stow, MA",6590,1 
"01776","25","03","MA","Sudbury, MA",2648,0.15 
"01776","25","05","MA","Sudbury, MA",15011,0.85 
"01778","25","05","MA","Cochituate, MA",13109,1 
"01801","25","05","MA","Woburn, MA",38112,0.98 
"01801","25","06","MA","Woburn, MA",791,0.02 
"01803","25","06","MA","Burlington, MA",24487,1 
"01810","25","03","MA","Andover, MA",25051,0.755 
